"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"19/09/2025","2.385","2.395","2.395","2.385","2,93K","-0,42%"
"18/09/2025","2.395","2.395","2.395","2.395","1,87K","0,00%"
"17/09/2025","2.395","2.395","2.395","2.395","3,19K","0,00%"
"16/09/2025","2.395","2.395","2.395","2.395","1,75K","0,00%"
"15/09/2025","2.395","2.375","2.395","2.375","1,49K","0,84%"
"12/09/2025","2.375","2.350","2.375","2.350","2,60K","1,06%"
"11/09/2025","2.350","2.315","2.350","2.315","1,63K","1,51%"
"10/09/2025","2.315","2.300","2.315","2.300","1,95K","0,65%"
"09/09/2025","2.300","2.245","2.300","2.245","4,14K","2,45%"
"08/09/2025","2.245","2.235","2.245","2.235","3,14K","0,45%"
"05/09/2025","2.235","2.235","2.235","2.235","2,52K","0,00%"
"03/09/2025","2.235","2.230","2.235","2.230","2,08K","0,22%"
"02/09/2025","2.230","2.220","2.230","2.220","1,60K","0,45%"
"01/09/2025","2.220","2.235","2.235","2.220","2,66K","-0,67%"
"29/08/2025","2.235","2.210","2.235","2.210","0,95K","1,13%"
"28/08/2025","2.210","2.215","2.215","2.210","3,04K","-0,23%"
"27/08/2025","2.215","2.210","2.215","2.210","2,30K","0,23%"
"26/08/2025","2.210","2.110","2.210","2.110","3,34K","4,74%"
"25/08/2025","2.110","2.135","2.135","2.110","10,11K","-1,17%"
"22/08/2025","2.135","2.150","2.150","2.135","4,18K","-0,70%"
"21/08/2025","2.150","2.110","2.150","2.110","5,60K","1,90%"
"20/08/2025","2.110","2.150","2.150","2.110","8,08K","-1,86%"
"19/08/2025","2.150","2.145","2.150","2.145","3,71K","0,23%"
"18/08/2025","2.145","2.150","2.150","2.145","6,95K","-0,23%"
"14/08/2025","2.150","2.150","2.150","2.150","5,57K","0,00%"
"13/08/2025","2.150","2.150","2.150","2.150","3,43K","0,00%"
"12/08/2025","2.150","2.150","2.150","2.150","5,21K","0,00%"
"11/08/2025","2.150","2.150","2.150","2.150","4,77K","0,00%"
