"Date","Dernier","Ouv."," Plus Haut","Plus Bas","Vol.","Variation %"
"19/09/2025","4.600","4.635","4.635","4.600","31,02K","-0,76%"
"18/09/2025","4.635","4.610","4.635","4.610","12,05K","0,54%"
"17/09/2025","4.610","4.600","4.610","4.600","22,47K","0,22%"
"16/09/2025","4.600","4.760","4.760","4.600","13,83K","-3,36%"
"15/09/2025","4.760","4.790","4.790","4.760","12,75K","-0,63%"
"12/09/2025","4.790","4.790","4.790","4.790","8,26K","0,00%"
"11/09/2025","4.790","4.790","4.790","4.790","25,05K","0,00%"
"10/09/2025","4.790","4.785","4.790","4.785","10,83K","0,10%"
"09/09/2025","4.785","4.775","4.785","4.775","14,51K","0,21%"
"08/09/2025","4.775","4.760","4.775","4.760","7,76K","0,32%"
"05/09/2025","4.760","4.715","4.760","4.715","9,33K","0,95%"
"03/09/2025","4.715","4.710","4.715","4.710","6,59K","0,11%"
"02/09/2025","4.710","4.790","4.790","4.710","8,29K","-1,67%"
"01/09/2025","4.790","4.790","4.790","4.790","9,71K","0,00%"
"29/08/2025","4.790","4.850","4.850","4.790","9,35K","-1,24%"
"28/08/2025","4.850","4.885","4.885","4.850","6,21K","-0,72%"
"27/08/2025","4.885","4.875","4.885","4.875","11,62K","0,21%"
"26/08/2025","4.875","4.920","4.920","4.875","6,88K","-0,91%"
"25/08/2025","4.920","4.850","4.920","4.850","7,63K","1,44%"
"22/08/2025","4.850","4.800","4.850","4.800","2,90K","1,04%"
"21/08/2025","4.800","4.780","4.800","4.780","8,72K","0,42%"
"20/08/2025","4.780","4.785","4.785","4.780","5,52K","-0,10%"
"19/08/2025","4.785","4.705","4.785","4.705","4,78K","1,70%"
"18/08/2025","4.705","4.750","4.750","4.705","10,32K","-0,95%"
"14/08/2025","4.750","4.805","4.805","4.750","1,36K","-1,14%"
"13/08/2025","4.805","4.815","4.815","4.805","3,51K","-0,21%"
"12/08/2025","4.815","4.825","4.825","4.815","2,81K","-0,21%"
"11/08/2025","4.825","4.810","4.825","4.810","4,50K","0,31%"
"08/08/2025","4.810","4.900","4.900","4.810","11,79K","-1,84%"
"06/08/2025","4.900","4.875","4.900","4.875","2,57K","0,51%"
"05/08/2025","4.875","4.905","4.905","4.875","2,72K","-0,61%"
"04/08/2025","4.905","4.950","4.950","4.905","2,38K","-0,91%"
"01/08/2025","4.950","4.990","4.990","4.950","3,22K","-0,80%"
"31/07/2025","4.990","4.850","4.990","4.850","2,29K","2,89%"
"30/07/2025","4.850","4.800","4.850","4.800","9,00K","1,04%"
"29/07/2025","4.800","4.690","4.800","4.690","2,75K","2,35%"
"28/07/2025","4.690","4.860","4.860","4.690","5,29K","-3,50%"
"25/07/2025","4.860","5.145","5.145","4.860","4,55K","-5,54%"
"24/07/2025","5.145","5.045","5.145","5.045","42,66K","1,98%"
"23/07/2025","5.045","4.695","5.045","4.695","21,75K","7,45%"
"22/07/2025","4.695","4.500","4.695","4.500","31,89K","4,33%"
"21/07/2025","4.500","4.370","4.500","4.370","42,77K","2,97%"
"18/07/2025","4.370","4.300","4.370","4.300","3,80K","1,63%"
"17/07/2025","4.300","4.360","4.360","4.300","7,74K","-1,38%"
"16/07/2025","4.360","4.325","4.360","4.325","22,68K","0,81%"
"15/07/2025","4.325","4.325","4.325","4.325","8,02K","0,00%"
"14/07/2025","4.325","4.395","4.395","4.325","16,32K","-1,59%"
"11/07/2025","4.395","4.475","4.475","4.395","11,66K","-1,79%"
"10/07/2025","4.475","4.475","4.475","4.475","9,09K","0,00%"
"09/07/2025","4.475","4.590","4.590","4.475","8,91K","-2,51%"
"08/07/2025","4.590","4.550","4.590","4.550","15,27K","0,88%"
"07/07/2025","4.550","4.495","4.550","4.495","18,87K","1,22%"
"04/07/2025","4.495","4.390","4.495","4.390","46,61K","2,39%"
"03/07/2025","4.390","4.085","4.390","4.085","5,90K","7,47%"
"02/07/2025","4.085","3.800","4.085","3.800","33,66K","7,50%"
"01/07/2025","3.800","3.880","3.880","3.800","56,57K","-2,06%"
"30/06/2025","3.880","4.190","4.190","3.880","11,51K","-7,40%"
"27/06/2025","4.190","4.525","4.525","4.190","9,37K","-7,40%"
"26/06/2025","4.525","4.890","4.890","4.525","21,36K","-7,46%"
"25/06/2025","4.890","5.000","5.000","4.890","20,38K","-2,20%"
"24/06/2025","5.000","5.300","5.300","5.000","41,20K","-5,66%"
"23/06/2025","5.300","5.495","5.495","5.300","40,25K","-3,55%"
"20/06/2025","5.495","5.565","5.565","5.495","15,61K","-1,26%"
"19/06/2025","5.565","5.695","5.695","5.565","9,84K","-2,28%"
"18/06/2025","5.695","5.700","5.700","5.695","5,21K","-0,09%"
"17/06/2025","5.700","5.670","5.700","5.670","7,19K","0,53%"
"16/06/2025","5.670","5.780","5.780","5.670","30,78K","-1,90%"
"13/06/2025","5.780","5.795","5.795","5.780","23,87K","-0,26%"
"12/06/2025","5.795","5.735","5.795","5.735","14,00K","1,05%"
"11/06/2025","5.735","5.735","5.735","5.735","86,84K","0,00%"
"10/06/2025","5.735","6.200","6.200","5.735","41,97K","-7,50%"
"05/06/2025","6.200","6.400","6.400","6.200","31,29K","-3,13%"
"04/06/2025","6.400","6.515","6.515","6.400","65,86K","-1,77%"
"03/06/2025","6.515","6.065","6.515","6.065","221,70K","7,42%"
"02/06/2025","6.065","5.645","6.065","5.645","16,95K","7,44%"
"30/05/2025","5.645","5.255","5.645","5.255","2,87K","7,42%"
"28/05/2025","5.255","4.890","5.255","4.890","1,95K","7,46%"
"27/05/2025","4.890","4.550","4.890","4.550","5,81K","7,47%"
"26/05/2025","4.550","4.235","4.550","4.235","11,21K","7,44%"
"23/05/2025","4.235","3.940","4.235","3.940","64,61K","7,49%"
"22/05/2025","3.940","3.985","3.985","3.940","36,37K","-1,13%"
"21/05/2025","3.985","3.990","3.990","3.985","16,87K","-0,13%"
"20/05/2025","3.990","3.990","3.990","3.990","25,16K","0,00%"
"19/05/2025","3.990","3.995","3.995","3.990","15,75K","-0,13%"
"16/05/2025","3.995","4.150","4.150","3.995","31,78K","-3,73%"
"15/05/2025","4.150","4.145","4.150","4.145","31,29K","0,12%"
"14/05/2025","4.145","3.950","4.145","3.950","28,88K","4,94%"
"13/05/2025","3.950","3.975","3.975","3.950","19,38K","-0,63%"
"12/05/2025","3.975","3.720","3.975","3.720","20,09K","6,85%"
"09/05/2025","3.720","3.465","3.720","3.465","29,94K","7,36%"
"08/05/2025","3.465","3.225","3.465","3.225","665,83K","7,44%"
"07/05/2025","3.225","3.000","3.225","3.000","56,29K","7,50%"
"06/05/2025","3.000","3.080","3.080","3.000","23,46K","-2,60%"
"05/05/2025","3.080","3.150","3.150","3.080","18,41K","-2,22%"
"02/05/2025","3.150","3.225","3.225","3.150","14,95K","-2,33%"
"30/04/2025","3.225","3.225","3.225","3.225","15,50K","0,00%"
"29/04/2025","3.225","3.225","3.225","3.225","31,27K","0,00%"
"28/04/2025","3.225","3.240","3.240","3.225","14,56K","-0,46%"
"25/04/2025","3.240","3.250","3.250","3.240","43,17K","-0,31%"
"24/04/2025","3.250","3.290","3.290","3.250","10,22K","-1,22%"
"23/04/2025","3.290","3.305","3.305","3.290","7,73K","-0,45%"
"22/04/2025","3.305","3.350","3.350","3.305","10,89K","-1,34%"
"18/04/2025","3.350","3.350","3.350","3.350","5,12K","0,00%"
"17/04/2025","3.350","3.390","3.390","3.350","12,19K","-1,18%"
"16/04/2025","3.390","3.400","3.400","3.390","16,19K","-0,29%"
"15/04/2025","3.400","3.400","3.400","3.400","21,80K","0,00%"
